Date,Time,Run,Framework,Workload,Dataset,CPU Usage (%),CPU IO wait (%),CPU Idle (%),Memory Used (MB),Memory Used (%),Memory Cached (MB),IO Read/Write (tps),Execution Time (s)
2024-06-10,21:28:06,1.0,Mmap,binaryconversion,soc-google-plus,11.16,0.34,88.51,6532.65,36.4,8000.75,64.0,0.89
2024-06-10,21:28:07,2.0,Mmap,binaryconversion,soc-google-plus,1.42,0.17,98.42,6533.09,36.4,8000.78,72.0,0.08
2024-06-10,21:28:08,3.0,Mmap,binaryconversion,soc-google-plus,1.67,0.0,98.34,6533.09,36.4,8000.75,72.0,0.07
2024-06-10,21:28:10,4.0,Mmap,binaryconversion,soc-google-plus,1.33,0.0,98.67,6533.09,36.4,8000.76,72.0,0.07
2024-06-10,21:28:11,5.0,Mmap,binaryconversion,soc-google-plus,1.67,0.0,98.33,6533.09,36.4,8000.8,4680.0,0.07
2024-06-10,21:28:12,1.0,Mmap,ConnectedComponent,soc-google-plus,1.67,0.0,98.33,6533.03,36.4,8000.78,72.0,0.11
2024-06-10,21:28:13,2.0,Mmap,ConnectedComponent,soc-google-plus,1.92,0.0,98.08,6533.03,36.4,8000.78,72.0,0.11
2024-06-10,21:28:14,3.0,Mmap,ConnectedComponent,soc-google-plus,1.91,0.42,97.67,6533.03,36.4,8000.81,384.0,0.11
2024-06-10,21:28:15,4.0,Mmap,ConnectedComponent,soc-google-plus,2.08,0.0,97.91,6533.03,36.4,8000.84,72.0,0.12
2024-06-10,21:28:16,5.0,Mmap,ConnectedComponent,soc-google-plus,1.59,0.08,98.33,6533.03,36.4,8000.85,72.0,0.12
2024-06-10,21:28:18,1.0,Mmap,PageRank10,soc-google-plus,9.04,0.08,90.88,6533.03,36.4,8003.27,80.0,0.24
2024-06-10,21:28:19,2.0,Mmap,PageRank10,soc-google-plus,8.04,0.5,91.46,6533.03,36.4,8003.27,840.0,0.21
2024-06-10,21:28:20,3.0,Mmap,PageRank10,soc-google-plus,8.82,0.0,91.18,6533.03,36.4,8003.29,72.0,0.2
2024-06-10,21:28:22,4.0,Mmap,PageRank10,soc-google-plus,9.62,0.0,90.38,6533.03,36.4,8003.3,72.0,0.22
2024-06-10,21:28:23,5.0,Mmap,PageRank10,soc-google-plus,7.98,0.0,92.02,6533.03,36.4,8003.3,72.0,0.2
2024-06-10,21:28:24,1.0,Mmap,PageRank20,soc-google-plus,17.18,0.0,82.81,6533.03,36.4,8003.3,248.0,0.31
2024-06-10,21:28:25,2.0,Mmap,PageRank20,soc-google-plus,10.08,0.08,89.84,6533.03,36.4,8003.31,72.0,0.23
2024-06-10,21:28:27,3.0,Mmap,PageRank20,soc-google-plus,18.27,0.0,81.73,6533.03,36.4,8003.32,72.0,0.33
2024-06-10,21:28:28,4.0,Mmap,PageRank20,soc-google-plus,12.45,0.0,87.55,6533.03,36.4,8003.32,72.0,0.27
2024-06-10,21:28:29,5.0,Mmap,PageRank20,soc-google-plus,10.29,0.0,89.71,6533.03,36.4,8003.32,72.0,0.24
2024-06-10,21:28:31,1.0,Mmap,TriangleCounting,soc-google-plus,16.34,0.75,82.91,6533.03,36.4,8003.38,13232.0,0.49
2024-06-10,21:28:33,2.0,Mmap,TriangleCounting,soc-google-plus,17.37,0.0,82.64,6533.03,36.4,8003.38,72.0,0.49
2024-06-10,21:28:34,3.0,Mmap,TriangleCounting,soc-google-plus,16.78,0.0,83.22,6533.03,36.4,8003.41,72.0,0.46
2024-06-10,21:28:36,4.0,Mmap,TriangleCounting,soc-google-plus,16.38,0.42,83.21,6533.03,36.4,8003.39,12080.0,0.48
2024-06-10,21:28:37,5.0,Mmap,TriangleCounting,soc-google-plus,17.6,0.0,82.4,6533.04,36.4,8003.41,72.0,0.5
2024-06-10,21:28:38,1.0,Mmap,OneStepNeighbor,soc-google-plus,1.83,0.0,98.17,6533.04,36.4,8003.41,72.0,0.08
2024-06-10,21:28:39,2.0,Mmap,OneStepNeighbor,soc-google-plus,1.42,0.0,98.58,6533.04,36.4,8003.41,72.0,0.08
2024-06-10,21:28:41,3.0,Mmap,OneStepNeighbor,soc-google-plus,1.34,0.0,98.66,6533.04,36.4,8003.42,72.0,0.08
2024-06-10,21:28:42,4.0,Mmap,OneStepNeighbor,soc-google-plus,1.84,0.0,98.17,6533.04,36.4,8003.42,72.0,0.08
2024-06-10,21:28:43,5.0,Mmap,OneStepNeighbor,soc-google-plus,1.42,0.0,98.58,6533.04,36.4,8003.43,72.0,0.08
2024-06-10,21:28:44,1.0,Mmap,OneStepNeighbor,soc-google-plus,1.17,0.0,98.83,6533.04,36.4,8003.43,72.0,0.08
2024-06-10,21:28:45,2.0,Mmap,OneStepNeighbor,soc-google-plus,1.35,0.17,98.49,6533.04,36.4,8003.43,216.0,0.08
2024-06-10,21:28:46,3.0,Mmap,OneStepNeighbor,soc-google-plus,1.5,0.0,98.5,6533.04,36.4,8003.44,72.0,0.08
2024-06-10,21:28:47,4.0,Mmap,OneStepNeighbor,soc-google-plus,1.42,0.0,98.58,6533.04,36.4,8003.4,72.0,0.08
2024-06-10,21:28:48,5.0,Mmap,OneStepNeighbor,soc-google-plus,1.58,0.0,98.42,6533.04,36.4,8003.44,72.0,0.08
2024-06-10,21:28:50,1.0,Mmap,TwoStepNeighbor,soc-google-plus,1.67,0.08,98.25,6533.04,36.4,8003.44,72.0,0.09
2024-06-10,21:28:51,2.0,Mmap,TwoStepNeighbor,soc-google-plus,1.33,0.0,98.66,6533.04,36.4,8003.44,72.0,0.08
2024-06-10,21:28:52,3.0,Mmap,TwoStepNeighbor,soc-google-plus,1.67,0.0,98.33,6533.04,36.4,8003.45,72.0,0.09
2024-06-10,21:28:53,4.0,Mmap,TwoStepNeighbor,soc-google-plus,1.17,0.0,98.83,6533.04,36.4,8003.45,80.0,0.08
2024-06-10,21:28:54,5.0,Mmap,TwoStepNeighbor,soc-google-plus,1.67,0.0,98.33,6533.04,36.4,8003.46,72.0,0.08
2024-06-10,21:28:55,1.0,Mmap,TwoStepNeighbor,soc-google-plus,1.67,0.0,98.33,6533.04,36.4,8003.47,184.0,0.08
2024-06-10,21:28:56,2.0,Mmap,TwoStepNeighbor,soc-google-plus,2.08,0.0,97.91,6533.04,36.4,8003.47,11872.0,0.1
2024-06-10,21:28:58,3.0,Mmap,TwoStepNeighbor,soc-google-plus,1.26,0.0,98.75,6533.04,36.4,8003.48,72.0,0.08
2024-06-10,21:28:59,4.0,Mmap,TwoStepNeighbor,soc-google-plus,1.91,0.0,98.09,6533.04,36.4,8003.52,72.0,0.08
2024-06-10,21:29:00,5.0,Mmap,TwoStepNeighbor,soc-google-plus,1.58,0.0,98.41,6533.04,36.4,8003.49,72.0,0.08
2024-06-10,21:29:13,1.0,Mmap,binaryconversion,socfb-konect,9.49462,0.0515385,90.4538,7931.75,44.19,7980.51,27.6923,13.48
2024-06-10,21:29:14,2.0,Mmap,binaryconversion,socfb-konect,1.66,0.0,98.33,6532.97,36.4,7301.91,72.0,0.07
2024-06-10,21:29:16,3.0,Mmap,binaryconversion,socfb-konect,1.41,0.0,98.58,6532.97,36.4,7301.91,72.0,0.07
2024-06-10,21:29:17,4.0,Mmap,binaryconversion,socfb-konect,1.84,0.0,98.17,6532.97,36.4,7301.92,72.0,0.07
2024-06-10,21:29:18,5.0,Mmap,binaryconversion,socfb-konect,1.67,3.49,94.84,6532.97,36.4,7301.93,25328.0,0.08
2024-06-10,21:29:20,1.0,Mmap,ConnectedComponent,socfb-konect,9.5,0.0,90.49,6889.55,38.39,7301.99,0.0,1.63
2024-06-10,21:29:21,2.0,Mmap,ConnectedComponent,socfb-konect,9.45,0.0,90.55,6889.55,38.39,7301.99,0.0,1.63
2024-06-10,21:29:23,3.0,Mmap,ConnectedComponent,socfb-konect,9.72,2.41,87.87,6889.55,38.39,7301.99,98304.0,1.73
2024-06-10,21:29:25,4.0,Mmap,ConnectedComponent,socfb-konect,9.83,8.41,81.77,6889.55,38.39,7302.02,335872.0,1.88
2024-06-10,21:29:27,5.0,Mmap,ConnectedComponent,socfb-konect,9.65,8.23,82.13,6889.55,38.39,7302.06,332800.0,1.71
2024-06-10,21:29:33,1.0,Mmap,PageRank10,socfb-konect,43.7517,0.055,56.19,7601.85,42.355,7396.62,64.0,6.2
2024-06-10,21:29:37,2.0,Mmap,PageRank10,socfb-konect,74.0467,0.28,25.6767,7463.37,41.58,7343.79,0.0,3.46
2024-06-10,21:29:40,3.0,Mmap,PageRank10,socfb-konect,73.9233,0.0,26.0767,7453.69,41.5267,7343.79,48.0,3.59
2024-06-10,21:29:44,4.0,Mmap,PageRank10,socfb-konect,77.4425,0.0,22.5575,7445.96,41.485,7343.8,0.0,4.11
2024-06-10,21:29:48,5.0,Mmap,PageRank10,socfb-konect,74.9333,0.0,25.0667,7463.37,41.58,7343.81,0.0,3.91
2024-06-10,21:29:55,1.0,Mmap,PageRank20,socfb-konect,83.35,0.0,16.6483,7463.37,41.58,7343.82,25.3333,6.98
2024-06-10,21:30:03,2.0,Mmap,PageRank20,socfb-konect,84.9371,0.0228571,15.0386,7454.71,41.5329,7343.83,8186.29,7.27
2024-06-10,21:30:10,3.0,Mmap,PageRank20,socfb-konect,80.6114,1.58571,17.8029,7450.78,41.51,7343.89,167878.0,7.67
2024-06-10,21:30:16,4.0,Mmap,PageRank20,socfb-konect,78.928,0.0,21.072,7463.3,41.58,7343.9,35.2,5.93
